Competition,Team 1,Team 2,Result,Round,Year,Date
Serie B,Sampaio Correa / MA,Paraná / PR,0 x 2,1,2014
Serie B,Ceará / CE,Oeste / SP,1 x 0,1,2014
Serie B,Vila Nova / GO,Luverdense / MT,0 x 0,1,2014
Serie B,América / RN,Avaí / SC,3 x 1,1,2014
Serie B,Boa / MG,Atlético / GO,1 x 1,1,2014
Serie B,Oeste / SP,América / RN,2 x 1,2,2014
Serie B,Portuguesa / SP,Santa Cruz / PE,1 x 1,2,2014
Serie B,Paraná / PR,Joinville / SC,2 x 3,2,2014
Serie B,Náutico / PE,Vila Nova / GO,2 x 0,2,2014
Serie B,Luverdense / MT,Vasco da Gama / RJ,2 x 1,2,2014
Serie B,Icasa / CE,Sampaio Correa / MA,0 x 3,2,2014
Serie B,Avaí / SC,Bragantino / SP,1 x 2,2,2014
Serie B,Atlético / GO,Ponte Preta / SP,2 x 2,2,2014
Serie B,Abc / RN,Boa / MG,1 x 0,2,2014
Serie B,América / MG,Ceará / CE,3 x 0,2,2014
Serie B,Bragantino / SP,Portuguesa / SP,2 x 2,3,2014
Serie B,Ponte Preta / SP,Luverdense / MT,2 x 2,3,2014
Serie B,Vasco da Gama / RJ,Atlético / GO,3 x 0,3,2014
Serie B,Santa Cruz / PE,Paraná / PR,1 x 1,3,2014
Serie B,Sampaio Correa / MA,Oeste / SP,2 x 2,3,2014
Serie B,Ceará / CE,Náutico / PE,2 x 2,3,2014
Serie B,Joinville / SC,Icasa / CE,2 x 1,3,2014
Serie B,Vila Nova / GO,Avaí / SC,0 x 1,3,2014
Serie B,América / RN,Abc / RN,0 x 2,3,2014
Serie B,Boa / MG,América / MG,1 x 3,3,2014
Serie B,Bragantino / SP,América / MG,0 x 2,4,2014
Serie B,Ponte Preta / SP,Abc / RN,2 x 1,4,2014
Serie B,Vasco da Gama / RJ,Oeste / SP,2 x 0,4,2014
Serie B,Santa Cruz / PE,Luverdense / MT,0 x 0,4,2014
Serie B,Sampaio Correa / MA,Avaí / SC,1 x 1,4,2014
Serie B,Ceará / CE,Paraná / PR,2 x 1,4,2014
Serie B,Joinville / SC,Náutico / PE,1 x 0,4,2014
Serie B,Vila Nova / GO,Icasa / CE,0 x 1,4,2014
Serie B,América / RN,Atlético / GO,3 x 3,4,2014
Serie B,Boa / MG,Portuguesa / SP,2 x 1,4,2014
Serie B,Oeste / SP,Ponte Preta / SP,1 x 1,5,2014
Serie B,Portuguesa / SP,América / RN,1 x 2,5,2014
Serie B,Paraná / PR,Boa / MG,0 x 0,5,2014
Serie B,Náutico / PE,Vasco da Gama / RJ,0 x 1,5,2014
Serie B,Luverdense / MT,Bragantino / SP,2 x 0,5,2014
Serie B,Icasa / CE,Santa Cruz / PE,1 x 1,5,2014
Serie B,Avaí / SC,Ceará / CE,1 x 1,5,2014
Serie B,Atlético / GO,Joinville / SC,0 x 0,5,2014
Serie B,Abc / RN,Sampaio Correa / MA,1 x 0,5,2014
Serie B,América / MG,Vila Nova / GO,2 x 0,5,2014
Serie B,Oeste / SP,Santa Cruz / PE,1 x 1,6,2014
Serie B,Ponte Preta / SP,Vila Nova / GO,1 x 0,6,2014
Serie B,Vasco da Gama / RJ,Sampaio Correa / MA,1 x 1,6,2014
Serie B,Náutico / PE,Portuguesa / SP,2 x 1,6,2014
Serie B,Luverdense / MT,Boa / MG,4 x 2,6,2014
Serie B,Icasa / CE,Bragantino / SP,3 x 0,6,2014
Serie B,Avaí / SC,Paraná / PR,2 x 1,6,2014
Serie B,Atlético / GO,Abc / RN,2 x 0,6,2014
Serie B,América / RN,Ceará / CE,0 x 1,6,2014
Serie B,América / MG,Joinville / SC,3 x 1,6,2014
Serie B,Bragantino / SP,Oeste / SP,3 x 0,7,2014
Serie B,Portuguesa / SP,Atlético / GO,2 x 0,7,2014
Serie B,Santa Cruz / PE,América / MG,1 x 1,7,2014
Serie B,Sampaio Correa / MA,Luverdense / MT,1 x 0,7,2014
Serie B,Ceará / CE,Ponte Preta / SP,3 x 2,7,2014
Serie B,Joinville / SC,Vasco da Gama / RJ,0 x 0,7,2014
Serie B,Vila Nova / GO,América / RN,1 x 3,7,2014
Serie B,Abc / RN,Icasa / CE,3 x 0,7,2014
Serie B,Boa / MG,Avaí / SC,2 x 0,7,2014
