Competition,Team 1,Team 2,Result,Round,Year,Date
Serie C,Salgueiro / PE,Aguia / PA,1 x 0,11,2014
Serie C,Ser Caxias / RS,Guaratinguetá / SP,0 x 3,11,2014
Serie C,Tupi / MG,Juventude / RS,1 x 1,11,2014
Serie C,São Caetano / SP,Macae / RJ,0 x 0,11,2014
Serie C,Madureira / RJ,Guarani / SP,0 x 0,11,2014
Serie C,Mogi Mirim / SP,Duque de Caxias / RJ,3 x 1,11,2014
Serie C,Aguia / PA,Fortaleza / CE,0 x 2,12,2014
Serie C,Salgueiro / PE,Botafogo / PB,1 x 0,12,2014
Serie C,Treze / PB,Cuiabá / MT,1 x 0,12,2014
Serie C,Juventude / RS,Duque de Caxias / RJ,2 x 0,12,2014
Serie C,Macae / RJ,Guarani / SP,1 x 0,12,2014
Serie C,São Caetano / SP,Ser Caxias / RS,2 x 0,12,2014
Serie C,Madureira / RJ,Mogi Mirim / SP,3 x 0,12,2014
Serie C,Guaratinguetá / SP,Tupi / MG,1 x 1,12,2014
Serie C,Paysandu / PA,Salgueiro / PE,1 x 0,13,2014
Serie C,Treze / PB,Aguia / PA,1 x 1,13,2014
Serie C,Ser Caxias / RS,Tupi / MG,0 x 3,13,2014
Serie C,Macae / RJ,Madureira / RJ,1 x 2,13,2014
Serie C,Guarani / SP,Juventude / RS,1 x 0,13,2014
Serie C,Duque de Caxias / RJ,Guaratinguetá / SP,0 x 3,13,2014
Serie C,Mogi Mirim / SP,São Caetano / SP,1 x 0,13,2014
Serie C,Salgueiro / PE,Cuiabá / MT,0 x 0,14,2014
Serie C,Botafogo / PB,Paysandu / PA,0 x 1,14,2014
Serie C,Juventude / RS,Macae / RJ,0 x 0,14,2014
Serie C,Tupi / MG,Mogi Mirim / SP,5 x 0,14,2014
Serie C,São Caetano / SP,Madureira / RJ,1 x 0,14,2014
Serie C,Duque de Caxias / RJ,Ser Caxias / RS,1 x 1,14,2014
Serie C,Guaratinguetá / SP,Guarani / SP,0 x 0,14,2014
Serie C,Cuiabá / MT,Botafogo / PB,0 x 1,15,2014
Serie C,Fortaleza / CE,Paysandu / PA,0 x 0,15,2014
Serie C,Juventude / RS,São Caetano / SP,1 x 0,15,2014
Serie C,Macae / RJ,Guaratinguetá / SP,1 x 1,15,2014
Serie C,Guarani / SP,Duque de Caxias / RJ,1 x 0,15,2014
Serie C,Madureira / RJ,Tupi / MG,0 x 1,15,2014
Serie C,Mogi Mirim / SP,Ser Caxias / RS,1 x 1,15,2014
Serie C,Paysandu / PA,Cuiabá / MT,1 x 2,16,2014
Serie C,Fortaleza / CE,Treze / PB,4 x 0,16,2014
Serie C,Ser Caxias / RS,Madureira / RJ,2 x 2,16,2014
Serie C,Tupi / MG,São Caetano / SP,4 x 0,16,2014
Serie C,Guarani / SP,Mogi Mirim / SP,3 x 3,16,2014
Serie C,Duque de Caxias / RJ,Macae / RJ,1 x 2,16,2014
Serie C,Guaratinguetá / SP,Juventude / RS,1 x 1,16,2014
Serie C,Paysandu / PA,Treze / PB,3 x 2,17,2014
Serie C,Cuiabá / MT,Aguia / PA,1 x 1,17,2014
Serie C,Botafogo / PB,Fortaleza / CE,0 x 0,17,2014
Serie C,Ser Caxias / RS,Guarani / SP,0 x 1,17,2014
Serie C,Tupi / MG,Duque de Caxias / RJ,4 x 1,17,2014
Serie C,São Caetano / SP,Guaratinguetá / SP,3 x 2,17,2014
Serie C,Madureira / RJ,Juventude / RS,2 x 0,17,2014
Serie C,Mogi Mirim / SP,Macae / RJ,1 x 0,17,2014
Serie C,Aguia / PA,Botafogo / PB,2 x 1,18,2014
Serie C,Treze / PB,Salgueiro / PE,3 x 0,18,2014
Serie C,Juventude / RS,Mogi Mirim / SP,4 x 0,18,2014
Serie C,Macae / RJ,Ser Caxias / RS,1 x 0,18,2014
Serie C,Guarani / SP,Tupi / MG,1 x 1,18,2014
Serie C,Duque de Caxias / RJ,São Caetano / SP,1 x 2,18,2014
Serie C,Guaratinguetá / SP,Madureira / RJ,5 x 0,18,2014
Serie C,Macae / RJ,Fortaleza / CE,0 x 0,19,2014
Serie C,Fortaleza / CE,Macae / RJ,1 x 1,19,2014
Serie C,Salgueiro / PE,Mogi Mirim / SP,0 x 1,19,2014
Serie C,Mogi Mirim / SP,Salgueiro / PE,0 x 0,19,2014
Serie C,Paysandu / PA,Tupi / MG,2 x 1,19,2014
Serie C,Tupi / MG,Paysandu / PA,0 x 1,19,2014
Serie C,Paysandu / PA,Mogi Mirim / SP,4 x 1,20,2014
Serie C,Mogi Mirim / SP,Paysandu / PA,2 x 1,20,2014
Serie C,Macae / RJ,Paysandu / PA,1 x 1,20,2014
Serie C,Paysandu / PA,Macae / RJ,3 x 3,20,2014
Serie C,Confiança / SE,Asa / AL,1 x 1,1,2015
Serie C,Águia de Marabá / PA,América / RN,1 x 1,1,2015
Serie C,Vila Nova / GO,Cuiabá / MT,1 x 0,1,2015
Serie C,Botafogo / PB,Salgueiro / PE,1 x 2,1,2015
Serie C,Icasa / CE,Fortaleza / CE,0 x 2,1,2015
Serie C,Brasil / RS,Juventude / RS,1 x 1,1,2015
Serie C,Tombense / MG,Tupi / MG,0 x 1,1,2015
Serie C,Londrina / PR,Portuguesa / SP,2 x 1,1,2015
Serie C,Caxias / RS,Madureira / RJ,1 x 1,1,2015
Serie C,Guaratinguetá / SP,Guarani / SP,1 x 1,1,2015
Serie C,Fortaleza / CE,Vila Nova / GO,3 x 2,2,2015
Serie C,América / RN,Icasa / CE,2 x 1,2,2015
Serie C,Asa / AL,Botafogo / PB,1 x 1,2,2015
Serie C,Salgueiro / PE,Águia de Marabá / PA,0 x 0,2,2015
Serie C,Cuiabá / MT,Confiança / SE,1 x 0,2,2015
Serie C,Madureira / RJ,Tombense / MG,1 x 1,2,2015
Serie C,Tupi / MG,Guaratinguetá / SP,3 x 0,2,2015
Serie C,Guarani / SP,Londrina / PR,1 x 2,2,2015
Serie C,Portuguesa / SP,Brasil / RS,1 x 1,2,2015
Serie C,Juventude / RS,Caxias / RS,0 x 0,2,2015
Serie C,Águia de Marabá / PA,Vila Nova / GO,1 x 2,3,2015
Serie C,Icasa / CE,Salgueiro / PE,1 x 2,3,2015
Serie C,Asa / AL,América / RN,3 x 0,3,2015,22/05/2015
Serie C,Botafogo / PB,Confiança / SE,2 x 1,3,2015
Serie C,Cuiabá / MT,Fortaleza / CE,1 x 3,3,2015
Serie C,Madureira / RJ,Portuguesa / SP,1 x 2,3,2015
Serie C,Guarani / SP,Tupi / MG,1 x 1,3,2015
Serie C,Tombense / MG,Caxias / RS,1 x 0,3,2015
Serie C,Londrina / PR,Juventude / RS,0 x 0,3,2015
Serie C,Brasil / RS,Guaratinguetá / SP,2 x 0,3,2015
Serie C,Fortaleza / CE,Asa / AL,1 x 1,4,2015
